CityName,VehicleTypeId,Description,Year,Month,Count,Amount
Surat,1,                 "MOTOR CYCLE"               ,1989,8,1,144
Surat,2,"MOTOR CYCLE                                  ",1994,3,1,27
Surat,4,"PRIVATE MOTOR CAR/JEEP CAR",,3,2,144
Surat,1,"MOPED/SCOOTER                                ",1997,4,,21230
Surat,2,"MOTOR CYCLE                                  ",1997,4,105,7022
Surat,3,"AUTO RICKSHAW",1997,6,5,1294
Surat,9,"LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ",1997,6,3,1050
Surat,21,TEMPO,1997,6,3,468
Surat,9,"LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ",1997,7,1,180
Surat,4,"PRIVATE MOTOR CAR/JEEP CAR",1997,8,56,5530
Surat,21,TEMPO,1997,8,2,108
Surat,1,"MOPED/SCOOTER                                ",1997,10,750,114669
Surat,3,"AUTO RICKSHAW",1997,10,2,318
Surat,7,"PUBLIC MOTOR CAR MORE THAN 16 SEAT",1997,11,1,360
Surat,5,"PUBLIC MOTOR CAR 1 TO 6 SEAT",1997,12,9,3348
Surat,6,"PUBLIC MOTOR CAR 7 TO 15 SEAT",1997,12,1,744
Surat,8,"LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ",1997,12,1,684
Surat,1,"MOPED/SCOOTER                                ",1998,1,309,39575.3
Surat,10,"LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ",1998,1,3,780
Surat,1,"MOPED/SCOOTER                                ",1998,2,140,15983
Surat,2,"MOTOR CYCLE                                  ",1998,2,38,4099
Surat,4,"PRIVATE MOTOR CAR/JEEP CAR",1998,2,35,8185
